-6,94;0
-5,88;0
-4,82;0
-4,82;0
-4,82;0
-4,82;0
-4,82;0
-4,82;0
-4,29;-0,91
-3,23;-0,91
-2,7;0
-2,17;-0,91
-1,64;0
-2,17;0,91
-1,64;0
-1,11;-0,91
-0,05000043;-0,91
-0,05000043;-0,91
-0,05000043;-0,91
-0,05000043;-0,91
1,01;-0,91
1,01;-0,91
2,069999;-0,91
1,01;-0,91
1,01;-0,91
2,069999;-0,91
1,539999;0
1,539999;0
2,599999;0
2,599999;0
2,599999;0
3,659999;0
4,719999;0
5,779999;0
5,779999;0
6,839999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
5,779999;0
